CPU Name,Cores,CPU Mark,Thread Mark,TDP (W),Socket,Category
AMD Athlon 64 3500+,1,367,606,45,AM2,Desktop
AMD Athlon 64 3700+,1,394,435,89,939,Desktop
AMD Athlon 64 3800+,1,332,591,45,AM2,Desktop
AMD Athlon 64 4000+,1,340,565,62,AM2,Desktop
AMD Athlon 64 FX-55,1,404,505,104,939,Desktop
AMD Athlon 64 FX-57,1,517,552,104,939,Desktop
AMD Athlon 64 FX-59,1,465,575,NA,939,Desktop
AMD Athlon 64 FX-60 Dual Core,2,709,912,110,939,Desktop
AMD Athlon 64 FX-62 Dual Core,2,993,"1,022",125,AM2,Desktop
AMD Athlon 64 FX-74,2,972,617,125,F (1207),Desktop
AMD Athlon 64 X2 Dual Core 3400+,2,531,505,89,754,Desktop
AMD Athlon 64 X2 Dual Core 3600+,2,618,655,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 3800+,2,623,717,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4000+,2,701,741,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4200+,2,730,803,89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4400+,2,675,764,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,2,720,835,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4800+,2,719,878,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5000+,2,807,908,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5200+,2,858,938,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5400+,2,907,999,65,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5600+,2,912,"1,019",89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 5800+,2,653,746,89,Unknown,Desktop
AMD Athlon 64 X2 Dual Core 6000+,2,942,"1,049",89,AM2,Desktop
AMD Athlon 64 X2 Dual Core 6400+,2,954,"1,126",125,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2300,2,594,624,45,AM2,Desktop
AMD Athlon 64 X2 Dual Core BE-2350,2,573,674,45,AM2,Desktop
AMD Athlon 64 X2 Dual-Core TK-42,2,577,537,20,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-53,2,602,621,31,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-55,2,518,609,35,Unknown,Desktop
AMD Athlon 64 X2 Dual-Core TK-57,2,624,646,31,Unknown,Desktop
AMD Athlon 64 X2 QL-60,2,655,653,35,S1,Laptop
AMD Athlon 64 X2 QL-62,2,525,623,35,S1,Laptop
AMD Athlon 64 X2 QL-64,2,618,702,35,S1,Laptop
AMD Athlon 64 X2 QL-65,2,664,701,35,S1,Laptop
AMD Athlon 64 X2 QL-66,2,641,751,35,S1,Laptop
AMD Athlon 64 X2 QL-67,2,582,515,35,S1,Laptop
AMD Athlon 7450 Dual-Core,2,789,853,95,AM2+,Desktop
AMD Athlon 7550 Dual-Core,2,977,969,95,AM2+,Desktop
AMD Athlon 7750 Dual-Core,2,"1,005","1,051",95,AM2+,Desktop
AMD Athlon 7850 Dual-Core,2,"1,058","1,118",95,AM2+,Desktop
AMD Athlon Dual Core 4050e,2,674,751,45,AM2,Desktop
AMD Athlon Dual Core 4450B,2,723,798,45,AM2+,Desktop
