Videocard Name,G3D Mark,G2D Mark,TDP (W),VRAM (MB),Category
GeForce 730A,764,186,NA,NA,Unknown
GeForce 7350 LE,74,281,NA,NA,Unknown
GeForce 7500 LE,91,42,NA,256 MB,Desktop
GeForce 7600 GS,166,33,NA,256 MB,Desktop
GeForce 7600 GT,235,47,NA,256 MB,Desktop
GeForce 7650 GS,134,335,NA,NA,Unknown
GeForce 770M,"3,246",500,NA,NA,Mobile
GeForce 7800 GS,177,199,NA,256 MB,Desktop
GeForce 7800 GT,244,273,NA,256 MB,Desktop
GeForce 7800 GTX,268,143,86,512 MB,Desktop
GeForce 7900 GS,262,65,NA,256 MB,Desktop
GeForce 7900 GT,258,160,NA,256 MB,Desktop
GeForce 7900 GT/GTO,247,469,NA,256 MB,Desktop
GeForce 7900 GTX,388,165,NA,512 MB,Desktop
GeForce 7950 GT,346,129,NA,512 MB,Desktop
GeForce 7950 GX2,267,217,NA,1024 MB,Desktop
GeForce 7950 Xtreme,288,288,NA,NA,Unknown
GeForce 800A,435,134,NA,NA,Unknown
GeForce 800M,477,195,NA,NA,Mobile
GeForce 8100 / nForce 720a,79,308,NA,NA,Unknown
GeForce 810A,655,277,NA,NA,Unknown
GeForce 810M,420,67,NA,NA,Mobile
GeForce 8200,164,61,NA,NA,Unknown
GeForce 8200M G,65,34,19.2,256 MB,Mobile
GeForce 820A,556,161,NA,NA,Unknown
GeForce 820M,481,114,15,2048 MB,Mobile
GeForce 825M,761,212,33,2048 MB,Mobile
GeForce 8300,102,168,NA,NA,Unknown
GeForce 8300 GS,115,111,40,512 MB,Desktop
GeForce 830A,"1,173",279,NA,NA,Unknown
GeForce 830M,"1,000",135,25,2048 MB,Mobile
GeForce 8400,81,160,NA,NA,Unknown
GeForce 8400 GS,167,23,40,512 MB,Desktop
GeForce 8400 SE,68,290,NA,NA,Unknown
GeForce 8400M G,105,124,10,128 MB,Mobile
GeForce 8400M GS,104,29,11,128 MB,Mobile
GeForce 8400M GT,67,56,14,256 MB,Mobile
GeForce 840A,"1,086",180,NA,NA,Unknown
GeForce 840M,"1,100",151,30,2048 MB,Mobile
GeForce 845M,"1,501",204,NA,NA,Mobile
GeForce 8500 GT,171,29,45,1024 MB,Desktop
GeForce 8600 GS,179,82,47,512 MB,Desktop
GeForce 8600 GT,142,39,47,1024 MB,Desktop
GeForce 8600 GTS,185,24,75,512 MB,Desktop
GeForce 8600M GS,89,34,20,256 MB,Mobile
GeForce 8600M GT,164,24,20,256 MB,Mobile
GeForce 8700M GT,124,57,29,256 MB,Mobile
GeForce 8800 GS,330,121,105,768 MB,Desktop
GeForce 8800 GT,455,47,125,1024 MB,Desktop
GeForce 8800 GTS,405,31,146,320 MB,Desktop
GeForce 8800 GTS 512,550,66,135,512 MB,Desktop
GeForce 8800 GTX,556,80,155,768 MB,Desktop
GeForce 8800 Ultra,643,252,171,768 MB,Desktop
